problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,u,u^5u_xxxx,P1(u),P5(u)u_xxxx,0.6546,-0.1892
Heat,u,u^6u_xxxx,P1(u),P6(u)u_xxxx,0.8754,0.2961
Heat,u,u_xxxxx,P1(u),P0(u)u_xxxxx,-0.0,-0.0
Heat,u,uu_xxxxx,P1(u),P1(u)u_xxxxx,0.01,0.0104
Heat,u,u^2u_xxxxx,P1(u),P2(u)u_xxxxx,0.0156,0.0103
Heat,u,u^3u_xxxxx,P1(u),P3(u)u_xxxxx,0.021,0.0058
Heat,u,u^4u_xxxxx,P1(u),P4(u)u_xxxxx,0.0182,-0.012
Heat,u,u^5u_xxxxx,P1(u),P5(u)u_xxxxx,0.0179,-0.0037
Heat,u,u^6u_xxxxx,P1(u),P6(u)u_xxxxx,0.0178,0.0012
Heat,u,u_xxxxxx,P1(u),P0(u)u_xxxxxx,-0.0074,-0.0075
Heat,u,uu_xxxxxx,P1(u),P1(u)u_xxxxxx,-0.0067,-0.0041
Heat,u,u^2u_xxxxxx,P1(u),P2(u)u_xxxxxx,-0.9835,-0.9784
Heat,u,u^3u_xxxxxx,P1(u),P3(u)u_xxxxxx,-0.6093,-0.1875
Heat,u,u^4u_xxxxxx,P1(u),P4(u)u_xxxxxx,-0.9396,0.88
Heat,u,u^5u_xxxxxx,P1(u),P5(u)u_xxxxxx,-0.6533,0.1877
Heat,u,u^6u_xxxxxx,P1(u),P6(u)u_xxxxxx,-0.8735,-0.2869
Heat,u^2,u^3,P2(u),P3(u),0.7517,-0.2121
Heat,u^2,u^4,P2(u),P4(u),0.9808,-0.9876
Heat,u^2,u^5,P2(u),P5(u),0.7989,0.2273
Heat,u^2,u^6,P2(u),P6(u),0.9381,0.8767
Heat,u^2,u_x,P2(u),P0(u)u_x,-0.0008,0.005
Heat,u^2,uu_x,P2(u),P1(u)u_x,-0.0034,-0.0036
Heat,u^2,u^2u_x,P2(u),P2(u)u_x,-0.0042,-0.0084
Heat,u^2,u^3u_x,P2(u),P3(u)u_x,-0.0051,0.0029
Heat,u^2,u^4u_x,P2(u),P4(u)u_x,-0.0059,0.0134
Heat,u^2,u^5u_x,P2(u),P5(u)u_x,-0.0068,-0.0036
Heat,u^2,u^6u_x,P2(u),P6(u)u_x,-0.0068,-0.0101
Heat,u^2,u_xx,P2(u),P0(u)u_xx,-0.2129,0.0943
Heat,u^2,uu_xx,P2(u),P1(u)u_xx,-0.6499,-0.7046
Heat,u^2,u^2u_xx,P2(u),P2(u)u_xx,-0.6252,-0.2195
Heat,u^2,u^3u_xx,P2(u),P3(u)u_xx,-0.9798,-0.9454
Heat,u^2,u^4u_xx,P2(u),P4(u)u_xx,-0.7411,0.2262
Heat,u^2,u^5u_xx,P2(u),P5(u)u_xx,-0.9561,0.9548
Heat,u^2,u^6u_xx,P2(u),P6(u)u_xx,-0.7802,-0.199
