problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,6,6,VB_Alg1,Diffusion,u^3u_xx,,-0.04702,,0.010403052042755146,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^4u_xx,,0.007152,,0.014431695452680578,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^5u_xx,,0.043942,,0.007998313542673555,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^6u_xx,,0.01224,,0.0028744431324593213,1.0,False
Heat,6,6,VB_Alg1,Diffusion,uu_xxx,,0.018667,,0.0002863333520723072,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^2u_xxx,,-0.010838,,0.0007176619375420186,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^3u_xxx,,-0.013907,,0.0030720864074086063,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^4u_xxx,,0.005098,,0.00354874919784017,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^5u_xxx,,0.02119,,0.0014483472844618085,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^6u_xxx,,-0.008212,,0.0009339896835751098,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u_xxxx,,0.000246,,5.764298609626054e-07,1.0,False
Heat,6,6,VB_Alg1,Diffusion,uu_xxxx,,0.005824,,8.176188388909183e-06,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^2u_xxxx,,-0.001671,,6.611225259076706e-05,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^3u_xxxx,,-0.010724,,0.00012293619392783197,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^4u_xxxx,,0.005321,,0.0002042372326430926,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^5u_xxxx,,0.005499,,7.660119683665625e-05,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^6u_xxxx,,-0.001053,,4.124518886681623e-05,1.0,False
Heat,6,6,VB_Alg1,Diffusion,uu_xxxxx,,0.000993,,3.706492652624362e-07,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^2u_xxxxx,,-0.000732,,9.6241527762772e-07,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^3u_xxxxx,,-0.001205,,3.959579607266913e-06,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^4u_xxxxx,,0.001094,,4.550875115758556e-06,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^5u_xxxxx,,0.000785,,1.7731624912121964e-06,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^6u_xxxxx,,-0.00051,,1.105969633107618e-06,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u_xxxxxx,,5e-06,,3.628779859611806e-10,1.0,False
Heat,6,6,VB_Alg1,Diffusion,uu_xxxxxx,,0.000155,,4.720712190642026e-09,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^2u_xxxxxx,,-3.4e-05,,3.371054731818909e-08,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^3u_xxxxxx,,-0.000308,,6.371530511513105e-08,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^4u_xxxxxx,,0.000133,,1.0432669866687989e-07,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^5u_xxxxxx,,0.000147,,3.498893597465129e-08,1.0,False
Heat,6,6,VB_Alg1,Diffusion,u^6u_xxxxxx,,-3.9e-05,,2.1082259541854378e-08,1.0,False
Heat,3,6,SINDy,Drift,u_xx,1.0,1.009129,0.9,,,True
Heat,3,6,VB_Alg1,Drift,1,,-0.02444,,0.0009471272393309508,1.0,False
Heat,3,6,VB_Alg1,Drift,u,,-0.059416,,0.02028689778937085,1.0,False
Heat,3,6,VB_Alg1,Drift,u^2,,0.395265,,0.1135071236294363,1.0,False
Heat,3,6,VB_Alg1,Drift,u^3,,0.376414,,0.27907826092706267,1.0,False
Heat,3,6,VB_Alg1,Drift,u^4,,-0.309778,,0.3707023227416293,1.0,False
Heat,3,6,VB_Alg1,Drift,u^5,,-0.703695,,0.35933209586860404,1.0,False
Heat,3,6,VB_Alg1,Drift,u^6,,0.248638,,0.16543055990252778,1.0,False
Heat,3,6,VB_Alg1,Drift,u_xx,1.0,0.991436,-0.9,0.0005333675749880808,1.0,True
Heat,3,6,VB_Alg1,Drift,uu_xx,,-0.081679,,0.0064363382141832265,1.0,False
Heat,3,6,VB_Alg1,Drift,u^2u_xx,,0.152367,,0.04392566596327499,1.0,False
Heat,3,6,VB_Alg1,Drift,u^3u_xx,,0.457914,,0.09260571038245087,1.0,False
Heat,3,6,VB_Alg1,Drift,u^4u_xx,,-0.311649,,0.12041811244731257,1.0,False
Heat,3,6,VB_Alg1,Drift,u^5u_xx,,-0.197164,,0.06705335174564019,1.0,False
Heat,3,6,VB_Alg1,Drift,u^6u_xx,,0.047654,,0.029026877810436582,1.0,False
Heat,3,6,VB_Alg1,Drift,u^3u_xxx,,-0.176075,,0.015794199728051513,0.9999637274749577,False
Heat,3,6,VB_Alg1,Drift,u^4u_xxx,,0.233147,,0.013942459879484318,0.9999999795045296,False
